id,producto,description,precio,categorias,imagen,linkPago
81,Prensa Para Vegetales,COD OR: 10060   Convierte fácilmente las patatas en un puré suave con esta prensa de patat..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/10060%20(2).jpeg,<paymentLink>
58,Escurridor De Vasos,"COD OR: ATH01111 -    Ideal para el uso diario!- 17,5x18x5x13cm- Fácil de limpiar- Re..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/01111%20(1).jpeg,<paymentLink>
323,Delantal C/peto Algodon Est Mj088,Ideal para mantener tu ropa intacta al cocinar!    DELANTAL WATER PROOF - REPELE LIQU..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784105686_1.jpg,<paymentLink>
279,Basurero Basc 4.9 Lt,"Ideal para mantener la higiene, el orden y la gestión de residuos!   BASURERO CON CAPACIDA..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7896042037325.jpg,<paymentLink>
360,Traba Mas Recip. Rect 1.9 Lt,Ideal para almacenar diferentes alimentos!       RECIPIENTE RECTANGULAR CON TAPA..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%204/7899808887646.jpg,<paymentLink>
372,RECIPIENTE FLIP 1.9 LT,"Ideal para conservar diferentes alimentos!      ""RECIPIENTE HERMETICO DE PLASTIC..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%205/7899808880357-.jpg,<paymentLink>
83,Set X6 Hueveras De Silicona,COD OR: 50610 -   Cocina deliciosos platillos con este Molde de Silicona para Hervir Huevo..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/50610%20(5).jpeg,<paymentLink>
36,Parrilla Para Pescado,COD OR: 231 -    Pinza para colocar el pescado y/o achuras y cocinarlos en la parrill..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/231%20(1).jpeg,<paymentLink>
84,Cortador Manual De Vegetales,COD OR: 9260 -  Herramienta versátil para cualquier cocina!- Base antideslizante- Acero in..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/9260%20(1).jpeg,<paymentLink>
20,Bandeja Damero Simil Madera 20 X 30,COD OR: 640N    Ideal para servir alimentos!- Rectangular- Plástico- 20x30cm..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/640%20(2).jpeg,<paymentLink>
15,Abrelatas,"COD OR: E4290    Utensilio indispensable para el hogar!- Excelente calidad- 16,5x5cm-..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/4290%20(2).jpeg,<paymentLink>
11,Set X 3 Utensilios De Silicona,"COD OR: 6514501   Ideal para diversas tareas en la cocina!- Batidor, Espátula y Pincel- Ma..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/6514501%20(2).jpeg,<paymentLink>
298,Juego Porta Detergente,"Ideal para tu cocina o lavadero!   CONJUNTO PORTA DETERGENTE PARA COLOCAR ESPONJA, JABON L..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7899808887974.jpg,<paymentLink>
80,Cono Soporte Para Papas Fritas,COD OR: B2760    10X15CMDuradero de usar: este soporte para papas fritas está hecho d..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/2760%20(2).jpeg,<paymentLink>
373,RECIPIENTE FLIP 1.1 LT,"Ideal para conservar diferentes alimentos!      ""RECIPIENTE HERMETICO DE PLASTIC..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%205/7899808880371.jpg,<paymentLink>
139,Protector De Puerta Ajustable,COD OR: VD80P -    Aislamiento durante todo el año: mantente caliente durante los mes..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%204/80%20(1).jpeg,<paymentLink>
299,Porta Cubiertos,"Ideal para tus utensilios!   PORTA CUBIERTOS DE PLASTICO CON 4 REPARTICIONES, EN LA BASE T..",,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7899808862889-.jpeg,<paymentLink>
78,Palote 42cm Movil Madera,COD OR: 60147     Largo del mango: 42 cm.Largo total: 24 cm.Diámetro: 5 cm.Diseño de ..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20TECNO/2026/CAMP%203/60147%20(3).jpeg,<paymentLink>
312,Mantel Bukara 140*210 Peva,Ideal para diversas ocasiones y estilos de decoración!    MANTEL RECTANGULAR 140x210c..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784168636-.jpeg,<paymentLink>
333,Jarra New York 1.8,Ideal para el hogar y esas tardes calurosas!     JARRA CAPACIDAD: 1.8Lt - CON VALVULA..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7899808895795.jpg,<paymentLink>
321,Delantal C/peto Home Class Water Proof,Ideal para mantener tu ropa intacta al cocinar!    DELANTAL WATER PROOF - REPELE LIQU..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/7730784168261.jpg,<paymentLink>
349,Connect Juego Medidor 9un - Multicolor/pastel,Ideal para comidas elaboradas!        RECIPIENTES MEDIDORES PARA COMIDAS EL..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%204/7899808890608%20(1).jpg,<paymentLink>
348,Connect Juego Medidor 9un - Multicolor,Ideal para comidas elaboradas!        RECIPIENTES MEDIDORES PARA COMIDAS EL..,,General,https://nuvex.uy/image/cache/catalog/CATEGORIAS/HOGAR/BAZAR%20ENCATEX/CAMP%204/7899808896082%20(1).jpg,<paymentLink>
