"id","producto","description","precio","imagen","categorias","linkPago"
39742,"BAUTISTA CAMPERA","Campera con capucha y cordon para ajustar, bolsillo canguro y detalle de bordado a contratono en manga.",1990,"124383_2_1.jpg","CAMPERAS",""
39742,"BAUTISTA CAMPERA","Campera con capucha y cordon para ajustar, bolsillo canguro y detalle de bordado a contratono en manga.",1990,"124383_313_1.jpg","CAMPERAS",""
39676,"PISSANO REMERA","Remera escote redondo, manga larga con impactante estampa en delantero. Para un outfit moderno y canchero.",890,"124335_2_1.jpg","REMERAS",""
39673,"GUILLAU REMERA","Remera manga cuello redondo, manga corta con estampa en delantero.",820,"124332_39_1.jpg","REMERAS",""
39644,"GERARD CHALECO","Chaleco matelaseado, acceso central y bolsillos con cierre. Combina en un diseño la formalidad y practicidad, ideal para varios tipos de uso.",2065,"124303_2_1.jpg","CAMPERAS",""
38490,"CALIGULA BABUCHA","Babucha tiro medio, cintura elastizada con cordón regulable y  bolsillos delantero y trasero. ",1390,"123669_32_1.jpg","PANTALONES Y BABUCHAS",""
37666,"ADRIANO BOXER","Boxer realizado en algodón elastizado con detalle de elástico diferenciado en cintura.",585,"123417_890_1.jpg","ROPA INTERIOR",""
37666,"ADRIANO BOXER","Boxer realizado en algodón elastizado con detalle de elástico diferenciado en cintura.",585,"123417_45_1.jpg","ROPA INTERIOR",""
37666,"ADRIANO BOXER","Boxer realizado en algodón elastizado con detalle de elástico diferenciado en cintura.",585,"123417_32_1.jpg","ROPA INTERIOR",""
37666,"ADRIANO BOXER","Boxer realizado en algodón elastizado con detalle de elástico diferenciado en cintura.",585,"123417_2_1.jpg","ROPA INTERIOR",""
37666,"ADRIANO BOXER","Boxer realizado en algodón elastizado con detalle de elástico diferenciado en cintura.",585,"123417_39_1.jpg","ROPA INTERIOR",""
37666,"ADRIANO BOXER","Boxer realizado en algodón elastizado con detalle de elástico diferenciado en cintura.",585,"123417_5_1.jpg","ROPA INTERIOR",""
